counts,director,genre,quote,rank,rating,runtime,title,url
894019人评价,宫崎骏,2001 / 日本 / 剧情 动画 奇幻,最好的宫崎骏，最好的久石让。,7,9.3,125分钟,千与千寻,https://movie.douban.com/subject/1291561/
902097人评价,詹姆斯·卡梅隆,1997 / 美国 / 剧情 爱情 灾难,失去的才是永恒的。,6,9.3,194分钟,泰坦尼克号,https://movie.douban.com/subject/1292722/
966497人评价,罗伯特·泽米吉斯,1994 / 美国 / 剧情 爱情,一部美国近现代史。,4,9.4,142 分钟,阿甘正传,https://movie.douban.com/subject/1292720/
507239人评价,史蒂文·斯皮尔伯格,1993 / 美国 / 剧情 历史 战争,拯救一个人，就是拯救整个世界。,8,9.5,195分钟,辛德勒的名单,https://movie.douban.com/subject/1295124/
1225578人评价,弗兰克·德拉邦特,1994 / 美国 / 犯罪 剧情,希望让人自由。,1,9.6,142分钟,肖申克的救赎,https://movie.douban.com/subject/1292052/
651543人评价,安德鲁·斯坦顿,2008 / 美国 / 爱情 科幻 动画 冒险,小瓦力，大人生。,10,9.3,98分钟,机器人总动员,https://movie.douban.com/subject/2131459/
981443人评价,克里斯托弗·诺兰,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,9,9.3,148分钟,盗梦空间,https://movie.douban.com/subject/3541415/
564689人评价,罗伯托·贝尼尼,1997 / 意大利 / 剧情 喜剧 爱情 战争,最美的谎言。,5,9.5,116分钟,美丽人生,https://movie.douban.com/subject/1292063/
1127321人评价,吕克·贝松,1994 / 法国 / 剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,3,9.4,110分钟(剧场版),这个杀手不太冷,https://movie.douban.com/subject/1295644/
547100人评价,宫崎骏,1988 / 日本 / 动画 奇幻 冒险,人人心中都有个龙猫，童年就永远不会消失。,19,9.1,86分钟,龙猫,https://movie.douban.com/subject/1291560/
378287人评价,黄东赫,2011 / 韩国 / 剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,20,9.3,125分钟,熔炉,https://movie.douban.com/subject/5912992/
901961人评价,陈凯歌,1993 / 中国大陆 香港 / 剧情 爱情 同性,风华绝代。,2,9.6,171 分钟,霸王别姬,https://movie.douban.com/subject/1291546/
664381人评价,克里斯托弗·诺兰,2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,17,9.2,169分钟,星际穿越,https://movie.douban.com/subject/1889243/
445228人评价,弗朗西斯·福特·科波拉,1972 / 美国 / 剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。,18,9.2,175 分钟,教父,https://movie.douban.com/subject/1291841/
650295人评价,彼得·威尔,1998 / 美国 / 剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,16,9.2,103分钟,楚门的世界,https://movie.douban.com/subject/1292064/
670617人评价,刘镇伟,1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险,一生所爱。,15,9.2,95分钟,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/
730683人评价,拜伦·霍华德,2016 / 美国 / 喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,25,9.2,109分钟(中国大陆),疯狂动物城,https://movie.douban.com/subject/25662329/
472279人评价,奥利维埃·纳卡什,2011 / 法国 / 剧情 喜剧,满满温情的高雅喜剧。,23,9.2,112分钟,触不可及,https://movie.douban.com/subject/6786002/
766389人评价,罗伯·莱纳,2010 / 美国 / 剧情 喜剧 爱情,真正的幸福是来自内心深处。,24,9.0,90分钟,怦然心动,https://movie.douban.com/subject/3319755/
710648人评价,加布里埃莱·穆奇诺,2006 / 美国 / 剧情 传记 家庭,平民励志片。,22,9.0,117分钟,当幸福来敲门,https://movie.douban.com/subject/1849031/
549383人评价,刘伟强,2002 / 香港 / 剧情 犯罪 悬疑,香港电影史上永不过时的杰作。,21,9.1,101分钟,无间道,https://movie.douban.com/subject/1307914/
605085人评价,克里斯托夫·巴拉蒂,2004 / 法国 瑞士 德国 / 剧情 音乐,天籁一般的童声，是最接近上帝的存在。,14,9.2,97 分钟,放牛班的春天,https://movie.douban.com/subject/1291549/
733277人评价,朱塞佩·托纳多雷,1998 / 意大利 / 剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,13,9.2,165分钟,海上钢琴师,https://movie.douban.com/subject/1292001/
879068人评价,拉吉库马尔·希拉尼,2009 / 印度 / 剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,12,9.2,171分钟(印度),三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/
364621人评价,张艺谋,1994 / 中国大陆 香港 / 剧情 历史 家庭,张艺谋最好的电影。,28,9.1,132分钟,活着,https://movie.douban.com/subject/1292365/
441395人评价,克里斯托弗·诺兰,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。,27,9.1,152分钟,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/
240723人评价,弗朗西斯·福特·科波拉,1974 / 美国 / 剧情 犯罪,优雅的孤独。,50,9.1,202分钟,教父2,https://movie.douban.com/subject/1299131/
535115人评价,詹姆斯·麦克特格,2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,一张面具背后的理想与革命。,48,8.8,132分钟,V字仇杀队,https://movie.douban.com/subject/1309046/
